FRPM School-Level Data ,School Pov Rate,CDS_CODE
2016-2017,0.763271162123386,01611920138339
2016-2017,0.7213114754098361,01611926000889
2016-2017,0.7066521264994547,01611926000905
2016-2017,0.817258883248731,01611926000913
2016-2017,0.5433715220949263,01611926000921
2016-2017,0.7247899159663865,01611926000947
2016-2017,0.7012089810017271,01611926000962
2016-2017,0.8489208633093526,01611926000988
2016-2017,0.7950819672131147,01611926000996
2016-2017,0.8022598870056498,01611926001044
2016-2017,0.584051724137931,01611926001051
2016-2017,0.7074829931972789,01611926001093
2016-2017,0.7328767123287672,01611926001101
2016-2017,0.6736474694589878,01611926001127
2016-2017,0.7929155313351499,01611926001135
2016-2017,0.530758226037196,01611926001176
2016-2017,0.6633064516129032,01611926001192
2016-2017,0.5855572998430141,01611926056931
2016-2017,0.8165784832451499,01611926056949
