Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count
2022-23,Oro Grande,Mojave River Academy - Gold Canyon,SE,48,8,16.7,7
2022-23,West Contra Costa Unified,John F. Kennedy High,RA,34,7,20.6,123
2022-23,Modesto City High,Robert Elliott Alternative Education Center,RB,21,17,81,6
2022-23,Tamalpais Union High,San Andreas High (Continuation),SD,38,35,92.1,11
2022-23,Chino Valley Unified,Chino Hills High,RB,193,52,26.9,37
2022-23,Kern High,District Office,GM,213,84,39.4,3
2022-23,Los Banos Unified,District Office,SD,15,7,46.7,1
2022-23,Corona-Norco Unified,John F. Kennedy High,RF,44,2,4.5,34
2022-23,San Luis Obispo County Office of Education,San Luis Obispo County Juvenile Court,TA,29,0,0,4
2022-23,El Rancho Unified,District Office,TA,184,74,40.2,2
2022-23,Humboldt County Office of Education,Northern United - Humboldt Charter,SH,14,6,42.9,1
2022-23,Galt Joint Union High,Liberty Ranch High,GF,524,85,16.2,132
2022-23,Lakeport Unified,Natural High (Continuation),SS,48,21,43.8,35
2022-23,Torrance Unified,Torrance High,SE,177,31,17.5,42
2022-23,Acton-Agua Dulce Unified,Options for Youth-Acton,GM,1329,649,48.8,147
2022-23,Barstow Unified,Barstow High,RB,308,202,65.6,35
2022-23,Morgan Hill Unified,Ann Sobrato High,RA,241,10,4.1,75
2022-23,Los Angeles Unified,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",SS,310,56,18.1,60
2022-23,Jefferson Union High,Thornton High,GM,118,62,52.5,29
2022-23,Montebello Unified,Bell Gardens High,SS,2049,482,23.5,357
2022-23,Merced Union High,El Capitan High,RA,219,28,12.8,10
2022-23,El Monte City,District Office,SE,13,4,30.8,1
2022-23,Pajaro Valley Unified,Renaissance High Continuation,SE,86,56,65.1,41
2022-23,Salinas Union High,Mount Toro High,SE,75,37,49.3,35
2022-23,Turlock Unified,John H. Pitman High,SE,340,103,30.3,49
2022-23,Bellflower Unified,District Office,SD,36,10,27.8,5
2022-23,Julian Union Elementary,Julian Charter,RH,93,13,14,4
2022-23,Los Banos Unified,District Office,TA,15,7,46.7,293
2022-23,Los Angeles County Office of Education,Central Juvenile Hall,SS,407,176,43.2,30
2022-23,SBE - KIPP Navigate College Prep,KIPP Navigate College Prep,SD,46,10,21.7,6
2022-23,Perris Union High,Liberty High,GM,1025,217,21.2,295
2022-23,Desert Sands Unified,La Quinta High,RD,25,8,32,2
2022-23,Wiseburn Unified,Da Vinci Connect,SE,32,3,9.4,1
2022-23,Corona-Norco Unified,Orange Grove High,SE,122,99,81.1,24
2022-23,Paradise Unified,HomeTech Charter,SH,16,6,37.5,1
2022-23,San Juan Unified,San Juan Choices Charter,RW,167,36,21.6,26
2022-23,William S. Hart Union High,Castaic High,RH,568,121,21.3,131
2022-23,Whittier Union High,Pioneer High,TA,1228,342,27.9,359
2022-23,SBE - Latitude 37.8 High,Latitude 37.8 High,RH,207,79,38.2,26
2022-23,Beaumont Unified,Beaumont Senior High,SS,2237,729,32.6,421
2022-23,Modesto City High,Modesto High,RT,75,30,40,14
2022-23,Perris Union High,Liberty High,GM,1025,217,21.2,39
2022-23,Los Angeles Unified,Larchmont Charter,RB,72,18,25,3
2022-23,Arcadia Unified,Rancho Learning Center (Alternative),SE,14,2,14.3,2
2022-23,Claremont Unified,Claremont High,GF,1139,253,22.2,284
2022-23,Pasadena Unified,Aveson Global Leadership Academy,GF,111,43,38.7,16
2022-23,Los Angeles Unified,Valley Academy of Arts and Sciences,GM,393,92,23.4,105
2022-23,Mt. Diablo Unified,District Office,RH,107,41,38.3,4
2022-23,Valley Center-Pauma Unified,Oak Glen High,RH,87,60,69,34
2022-23,Firebaugh-Las Deltas Unified,El Puente High,RH,22,11,50,4
2022-23,Los Angeles Unified,Will Rogers Continuation,GF,91,82,90.1,16
2022-23,San Diego County Office of Education,Literacy First Charter,SS,1093,144,13.2,24
2022-23,San Francisco Unified,District Office,TA,69,26,37.7,25
2022-23,Los Angeles County Office of Education,Russell Westbrook Why Not? High,GM,143,74,51.7,40
2022-23,Corona-Norco Unified,John F. Kennedy High,SS,401,48,12,249
2022-23,Hemet Unified,Tahquitz High,SF,29,17,58.6,5
