Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count,Graduation Rate
2022-23,Duarte Unified,District Office,TA,21,8,38.1,2,0.09523809523809523
2022-23,San Pasqual Valley Unified,Bill M. Manes High,RI,13,0,0,1,0.07692307692307693
2022-23,Rialto Unified,Eisenhower High,TA,2328,846,36.3,510,0.2190721649484536
2022-23,Tamalpais Union High,Tamalpais High,RH,191,57,29.8,44,0.23036649214659685
2022-23,Solano County Office of Education,Elite Public,RH,247,78,31.6,5,0.020242914979757085
2022-23,Monrovia Unified,Monrovia High,RW,271,72,26.6,66,0.24354243542435425
2022-23,Los Angeles Unified,Francisco Bravo Medical Magnet High,RB,22,3,13.6,5,0.22727272727272727
2022-23,Warner Unified,All Tribes Charter,TA,67,4,6,5,0.07462686567164178
2022-23,Pleasanton Unified,Foothill High,SD,202,51,25.2,36,0.1782178217821782
2022-23,Orange Unified,District Office,SD,36,0,0,7,0.19444444444444445
2022-23,Anaheim Union High,John F. Kennedy High,GM,1114,193,17.3,56,0.05026929982046679
2022-23,Santa Cruz County Office of Education,Pacific Collegiate Charter,RH,95,14,14.7,20,0.21052631578947367
2022-23,Los Angeles County Office of Education,Central Juvenile Hall,SD,216,98,45.4,20,0.09259259259259259
2022-23,Kern High,Vista West Continuation High,SD,52,35,67.3,8,0.15384615384615385
2022-23,Redding Elementary,District Office,RW,25,2,8,1,0.04
2022-23,Mendocino County Office of Education,Orr Creek,GM,58,39,67.2,1,0.017241379310344827
2022-23,Lone Pine Unified,Lone Pine High,SE,15,5,33.3,2,0.13333333333333333
2022-23,Riverside County Office of Education,River Springs Charter,SD,1247,178,14.3,39,0.03127506014434643
2022-23,Oakland Unified,Oakland School for the Arts,RH,150,1,0.7,23,0.15333333333333332
2022-23,Ventura Unified,El Camino High,GM,99,16,16.2,26,0.26262626262626265
2022-23,Julian Union Elementary,Diego Valley East Public Charter,GF,319,176,55.2,32,0.10031347962382445
2022-23,Grossmont Union High,Granite Hills High,RB,70,27,38.6,12,0.17142857142857143
2022-23,San Francisco Unified,District Office,SS,28,13,46.4,170,6.071428571428571
2022-23,Linden Unified,Linden High,SH,23,10,43.5,5,0.21739130434782608
2022-23,Irvine Unified,University High,RT,202,17,8.4,9,0.04455445544554455
2022-23,Cotati-Rohnert Park Unified,Rancho Cotate High,SD,234,93,39.7,39,0.16666666666666666
2022-23,Colton Joint Unified,Washington High,RB,32,4,12.5,17,0.53125
2022-23,Mt. Diablo Unified,District Office,RH,107,41,38.3,1,0.009345794392523364
2022-23,Central Unified,Pershing Continuation High,GF,60,46,76.7,21,0.35
2022-23,Contra Costa County Office of Education,Floyd I. Marchus,SS,23,18,78.3,1,0.043478260869565216
2022-23,Jefferson Union High,Westmoor High,GF,617,113,18.3,146,0.2366288492706645
2022-23,Dublin Unified,District Office,TA,26,5,19.2,4,0.15384615384615385
2022-23,Brentwood Union Elementary,District Office,SS,86,61,70.9,2,0.023255813953488372
2022-23,Temecula Valley Unified,Chaparral High,SD,506,134,26.5,69,0.13636363636363635
2022-23,Fremont Unified,Irvington High,SD,183,48,26.2,26,0.14207650273224043
2022-23,Menifee Union Elementary,Santa Rosa Academy,RF,47,1,2.1,1,0.02127659574468085
2022-23,Desert Sands Unified,Amistad High (Continuation),SS,295,229,77.6,120,0.4067796610169492
2022-23,Tustin Unified,District Office,TA,99,39,39.4,5,0.050505050505050504
2022-23,Columbia Elementary,Shasta View Academy,GM,243,2,0.8,15,0.06172839506172839
2022-23,Yuba City Unified,Yuba City High,RF,11,1,9.1,3,0.2727272727272727
2022-23,Riverside Unified,Martin Luther King Jr. High,RB,220,27,12.3,47,0.21363636363636362
2022-23,La Mesa-Spring Valley,District Office,GF,19,1,5.3,1,0.05263157894736842
2022-23,Manteca Unified,Sierra High,TA,1759,256,14.6,77,0.04377487208641274
2022-23,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",TA,15,0,0,1,0.06666666666666667
2022-23,Sweetwater Union High,Sweetwater High,RH,2161,704,32.6,533,0.24664507172605277
2022-23,Santa Rosa High,Elsie Allen High,RB,14,8,57.1,1,0.07142857142857142
2022-23,San Bernardino City Unified,San Bernardino High,SF,35,14,40,7,0.2
2022-23,Los Angeles Unified,Northridge Academy High,RF,52,12,23.1,14,0.2692307692307692
2022-23,East Side Union High,Apollo High,GM,82,6,7.3,36,0.43902439024390244
